,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
206,heloc,0.7196940726577438,0.05009560229445507,4.179,0.026,0.28,23.409,1.607,None_change_enc_only_False,3
207,student_performance,0.8957055214723927,0.0736196319018405,18.387,0.072,0.693,20.135,4.33,None_change_enc_only_False,3
208,titanic,0.8116591928251121,0.16143497757847533,9.879,0.076,0.801,11.713,3.428,None_change_enc_only_False,3
209,breast_cancer,0.9720279720279721,0.006993006993006993,2.514,0.014,0.251,30.0,0.552,None_change_enc_only_False,3
210,adult,0.8296278098513696,0.09937354133398846,5.782,0.027,0.089,7.59,2.569,None_change_enc_only_False,67
211,student,0.9318934838630508,0.08774082709534912,10.643,0.056,0.375,32.969,3.184,None_change_enc_only_False,67
212,heloc,0.7166347992351817,0.07074569789674952,4.211,0.031,0.284,23.435,1.613,None_change_enc_only_False,67
213,student_performance,0.9079754601226994,0.04294478527607362,18.257,0.041,0.695,20.012,4.315,None_change_enc_only_False,67
214,titanic,0.820627802690583,0.04932735426008968,9.446,0.045,0.716,11.283,3.123,None_change_enc_only_False,67
215,breast_cancer,0.965034965034965,0.0,2.51,0.013,0.268,30.0,0.529,None_change_enc_only_False,67
216,adult,0.8308561601768825,0.10907750890553987,5.814,0.03,0.087,7.62,2.566,None_change_enc_only_False,98
217,student,0.9305436249846608,0.09117683151306907,10.62,0.053,0.378,32.945,3.179,None_change_enc_only_False,98
218,heloc,0.7158699808795411,0.0627151051625239,4.165,0.03,0.275,23.395,1.63,None_change_enc_only_False,98
219,student_performance,0.9079754601226994,0.06748466257668713,18.433,0.06,0.695,20.184,4.338,None_change_enc_only_False,98
220,titanic,0.8161434977578476,0.08520179372197309,8.953,0.045,0.715,10.789,3.141,None_change_enc_only_False,98
221,breast_cancer,0.9720279720279721,0.006993006993006993,2.525,0.013,0.26,30.0,0.541,None_change_enc_only_False,98
222,adult,0.8296278098513696,0.10784915858002704,5.777,0.03,0.091,7.58,2.558,None_change_enc_only_False,4
223,student,0.9282120505583508,0.06454779727573935,10.609,0.041,0.371,32.928,3.167,None_change_enc_only_False,4
224,heloc,0.7135755258126195,0.08221797323135756,4.075,0.026,0.285,23.289,1.6,None_change_enc_only_False,4
225,student_performance,0.9141104294478528,0.0920245398773006,19.357,0.078,0.698,21.104,4.33,None_change_enc_only_False,4
226,titanic,0.820627802690583,0.06726457399103139,8.834,0.03,0.743,10.673,3.241,None_change_enc_only_False,4
227,breast_cancer,0.965034965034965,0.0,2.536,0.013,0.27,30.0,0.547,None_change_enc_only_False,4
228,adult,0.8288907996560619,0.09581132539000124,5.828,0.024,0.086,7.633,2.559,None_change_enc_only_False,23
229,student,0.9336114860719108,0.07510123941587925,10.667,0.056,0.379,32.98,3.194,None_change_enc_only_False,23
230,heloc,0.7223709369024857,0.09254302103250478,4.336,-0.002,0.289,23.519,1.664,None_change_enc_only_False,23
231,student_performance,0.9018404907975459,0.06748466257668713,18.559,0.056,0.699,20.307,4.336,None_change_enc_only_False,23
232,titanic,0.8161434977578476,0.06726457399103139,8.956,0.041,0.669,10.798,2.999,None_change_enc_only_False,23
233,breast_cancer,0.958041958041958,0.0,2.554,0.014,0.254,30.0,0.547,None_change_enc_only_False,23
234,adult,0.831101830241985,0.1057609630266552,5.85,0.028,0.088,7.657,2.579,None_change_enc_only_False,8
235,student,0.9302981960976808,0.07154252055466928,10.58,0.043,0.368,32.911,3.173,None_change_enc_only_False,8
236,heloc,0.7181644359464627,0.06003824091778201,4.129,0.025,0.26,23.33,1.62,None_change_enc_only_False,8
237,student_performance,0.9079754601226994,0.061349693251533735,18.492,0.059,0.703,20.245,4.315,None_change_enc_only_False,8
238,titanic,0.820627802690583,0.11659192825112108,9.767,0.056,0.731,11.605,3.25,None_change_enc_only_False,8
239,breast_cancer,0.965034965034965,0.006993006993006993,2.534,0.012,0.254,30.0,0.537,None_change_enc_only_False,8
240,adult,0.8308561601768825,0.9998771649674488,7.739,0.757,0.045,9.284,2.128,None_change_enc_dec_True,42
241,student,0.9363112038286906,0.99963185666953,11.585,0.937,0.37,33.128,3.19,None_change_enc_dec_True,42
242,heloc,0.7128107074569789,1.0,5.64,0.665,0.211,24.064,1.291,None_change_enc_dec_True,42
243,student_performance,0.9079754601226994,0.9447852760736196,19.827,0.92,0.716,21.607,4.255,None_change_enc_dec_True,42
244,titanic,0.8251121076233184,0.9820627802690582,15.746,0.728,0.694,17.543,3.445,None_change_enc_dec_True,42
245,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.281,30.0,0.562,None_change_enc_dec_True,42
