,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
162,adult,0.8303648200466773,1.0,7.711,0.755,0.047,9.313,2.12,None_change_enc_dec_Independent_Vcnet,4
163,student,0.9289483372192908,0.99975457111302,11.469,0.942,0.371,33.033,3.177,None_change_enc_dec_Independent_Vcnet,4
164,heloc,0.7139579349904398,1.0,5.635,0.678,0.214,24.086,1.365,None_change_enc_dec_Independent_Vcnet,4
165,student_performance,0.9079754601226994,0.8895705521472392,20.384,0.864,0.708,22.16,4.264,None_change_enc_dec_Independent_Vcnet,4
166,titanic,0.820627802690583,0.9596412556053812,15.352,0.708,0.72,17.148,3.561,None_change_enc_dec_Independent_Vcnet,4
167,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_enc_dec_Independent_Vcnet,4
168,adult,0.8285222945584081,0.9992629898046924,7.604,0.731,0.041,9.211,2.088,None_change_enc_dec_Independent_Vcnet,23
169,student,0.9354522027242608,0.99963185666953,11.626,0.944,0.375,33.137,3.199,None_change_enc_dec_Independent_Vcnet,23
170,heloc,0.7193116634799235,1.0,5.501,0.597,0.252,23.928,1.377,None_change_enc_dec_Independent_Vcnet,23
171,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.706,21.301,4.273,None_change_enc_dec_Independent_Vcnet,23
172,titanic,0.8161434977578476,0.9551569506726456,15.258,0.717,0.695,17.058,3.409,None_change_enc_dec_Independent_Vcnet,23
173,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.265,30.0,0.553,None_change_enc_dec_Independent_Vcnet,23
174,adult,0.8290136346886132,0.9998771649674488,7.906,0.755,0.049,9.467,2.11,None_change_enc_dec_Independent_Vcnet,8
175,student,0.9293164805497608,0.9991409988955698,11.511,0.939,0.366,33.09,3.178,None_change_enc_dec_Independent_Vcnet,8
176,heloc,0.7154875717017208,1.0,5.67,0.651,0.212,24.104,1.391,None_change_enc_dec_Independent_Vcnet,8
177,student_performance,0.9079754601226994,0.9079754601226994,19.584,0.879,0.705,21.362,4.245,None_change_enc_dec_Independent_Vcnet,8
178,titanic,0.820627802690583,0.9865470852017936,15.971,0.734,0.717,17.758,3.521,None_change_enc_dec_Independent_Vcnet,8
179,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_enc_dec_Independent_Vcnet,8
180,adult,0.8307333251443312,0.9998771649674488,7.671,0.759,0.044,9.222,2.104,None_change_enc_dec_,42
181,student,0.9366793471591608,0.99975457111302,11.581,0.942,0.371,33.122,3.189,None_change_enc_dec_,42
182,heloc,0.7131931166347992,0.9996175908221796,5.618,0.667,0.209,24.063,1.281,None_change_enc_dec_,42
183,student_performance,0.9018404907975459,0.9447852760736196,19.815,0.921,0.717,21.595,4.258,None_change_enc_dec_,42
184,titanic,0.8161434977578476,0.9820627802690582,15.712,0.728,0.693,17.507,3.439,None_change_enc_dec_,42
185,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.281,30.0,0.562,None_change_enc_dec_,42
186,adult,0.830241985014126,0.9997543299348974,7.702,0.747,0.049,9.264,2.134,None_change_enc_dec_,12
187,student,0.9317707694195608,0.99963185666953,11.577,0.941,0.373,33.109,3.194,None_change_enc_dec_,12
188,heloc,0.7204588910133843,1.0,5.503,0.641,0.209,24.013,1.334,None_change_enc_dec_,12
189,student_performance,0.9079754601226994,0.9202453987730062,20.125,0.89,0.707,21.902,4.31,None_change_enc_dec_,12
190,titanic,0.8161434977578476,0.9730941704035876,15.239,0.73,0.737,17.031,3.508,None_change_enc_dec_,12
191,breast_cancer,0.9720279720279721,1.0,5.154,0.986,0.277,30.0,0.551,None_change_enc_dec_,12
192,adult,0.8307333251443312,0.9996314949023462,7.663,0.744,0.049,9.234,2.121,None_change_enc_dec_,34
193,student,0.9253896183580808,0.99963185666953,11.556,0.928,0.372,33.091,3.179,None_change_enc_dec_,34
194,heloc,0.7162523900573614,1.0,5.565,0.656,0.229,23.928,1.257,None_change_enc_dec_,34
195,student_performance,0.9018404907975459,0.9202453987730062,19.509,0.895,0.704,21.288,4.272,None_change_enc_dec_,34
196,titanic,0.8161434977578476,0.9730941704035876,15.819,0.711,0.707,17.605,3.524,None_change_enc_dec_,34
197,breast_cancer,0.965034965034965,1.0,5.197,0.985,0.272,30.0,0.558,None_change_enc_dec_,34
198,adult,0.8299963149490235,1.0,7.691,0.753,0.047,9.261,2.065,None_change_enc_dec_,56
199,student,0.9347159160633206,1.0,11.566,0.946,0.372,33.09,3.195,None_change_enc_dec_,56
200,heloc,0.7120458891013385,1.0,5.558,0.665,0.205,23.999,1.292,None_change_enc_dec_,56
201,student_performance,0.9079754601226994,0.9079754601226994,19.877,0.883,0.715,21.656,4.292,None_change_enc_dec_,56
202,titanic,0.8116591928251121,0.9775784753363228,15.513,0.711,0.697,17.3,3.485,None_change_enc_dec_,56
203,breast_cancer,0.965034965034965,1.0,5.176,0.987,0.274,30.0,0.547,None_change_enc_dec_,56
204,adult,0.8298734799164722,0.9997543299348974,7.65,0.754,0.044,9.226,2.085,None_change_enc_dec_,3
205,student,0.9307890538716408,0.99950914222604,11.604,0.932,0.372,33.135,3.194,None_change_enc_dec_,3
206,heloc,0.7196940726577438,1.0,5.636,0.658,0.213,24.005,1.29,None_change_enc_dec_,3
207,student_performance,0.8957055214723927,0.9325153374233128,19.793,0.894,0.701,21.571,4.247,None_change_enc_dec_,3
208,titanic,0.8116591928251121,0.9730941704035876,15.596,0.711,0.721,17.381,3.547,None_change_enc_dec_,3
209,breast_cancer,0.9720279720279721,1.0,5.111,0.986,0.264,30.0,0.565,None_change_enc_dec_,3
210,adult,0.8296278098513696,0.9998771649674488,7.654,0.733,0.043,9.258,2.115,None_change_enc_dec_,67
211,student,0.9318934838630508,0.99938642778255,11.57,0.933,0.376,33.109,3.195,None_change_enc_dec_,67
212,heloc,0.7166347992351817,1.0,5.508,0.653,0.226,23.971,1.284,None_change_enc_dec_,67
213,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.858,0.697,21.19,4.256,None_change_enc_dec_,67
214,titanic,0.820627802690583,0.9730941704035876,15.723,0.739,0.702,17.516,3.47,None_change_enc_dec_,67
215,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_enc_dec_,67
216,adult,0.8308561601768825,0.9996314949023462,7.667,0.746,0.041,9.27,2.141,None_change_enc_dec_,98
217,student,0.9305436249846608,0.99963185666953,11.519,0.93,0.374,33.082,3.189,None_change_enc_dec_,98
218,heloc,0.7158699808795411,1.0,5.591,0.657,0.223,23.983,1.308,None_change_enc_dec_,98
219,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.894,0.708,21.521,4.281,None_change_enc_dec_,98
220,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.721,17.103,3.507,None_change_enc_dec_,98
221,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_enc_dec_,98
222,adult,0.8296278098513696,1.0,7.746,0.75,0.048,9.34,2.134,None_change_enc_dec_,4
223,student,0.9282120505583508,0.99963185666953,11.47,0.943,0.371,33.033,3.177,None_change_enc_dec_,4
